DataSeries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,2018,2017,2016,2015,2024,2023,2022,2021,2020,2019
Total Value Of Local Production,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,231,233,207,186,163,166
    Seafood,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,34,40,41,35,46
    Vegetables,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40,43,43,47,40,42
    Hen Shell Eggs,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,161,156,124,99,89,79
Local Production Of Seafood,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5192,5390,5597,6432,3533,4090,4440,5069,4567,5335
Local Production Of Vegetables,22720,21785,21405,20355,19491,19584,18967,19027,18077,17397,17192,16563,16525,17690,19293,18927,17291,16281,10870,7337,5644,4800,5114,4597,8907,6462,10154,16810,20876,28648,32767,35326,41388,42861,36839,37800,40665,36460,38339,24033,22620,22458,23039,16391,16915,19881,23506,22793,24296
Local Production Of Hen Shell Eggs,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,488,521,452,421,773,685,609,644,616,528
Local Production Of Aquarium Fish,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,78,73,77,77,na,na,41,62,69,85
Local Production Of Aquatic Plants And Tissue Culture Plantlets,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21,17,15,14
Local Production Of Orchids,10,9,10,11,10,10,11,10,10,12,11,13,19,19,22,22,17,15,34,27,31,36,42,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,6,8,na,na,na,na,na,na
Local Production Of Ornamental Plants,22,12,38,41,40,40,40,38,38,36,24,30,41,48,53,50,55,56,31,51,70,51,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16,17,21,na,na,na,na,na,na
